siteengname	SO2 Average 	Maximum	X	Y	Months 	  Month/Year
Yilan	2.52	12.3	121.746394	24.747917	4	
Dongshan	2.84	18.7	121.792928	24.632203	4	
Sanchong	2.57	48.4	121.493806	25.072611	4	
Zhongli	3.34	14.7	121.221667	24.953278	4	
Zhushan	2.32	11.7	120.677306	23.756389	4	
Yonghe	0.96	4.2	121.516306	25.017	4	
Fuxing	1.92	10.3	120.312017	22.608711	4	
Puli	1.81	8.7	120.967903	23.968842	4	
Matsu	1.34	3.4	119.9314938	26.15188416	4	
Kinmen	1.46	5.5	118.312256	24.432133	4	
Magong	1.03	2.1	119.566158	23.569031	4	
Guanshan	1.14	1.7	121.161933	23.045083	4	
Mailiao	1.48	3.7	120.251825	23.753506	4	
FugueiCape	2.81	15.6	121.5365689	25.29681695	4	
Dacheng	1.79	6.8	120.2696417	23.85493056	4	
Keelung	1.59	6.6	121.760056	25.129167	4	May
Xizhi	1.38	6.5	121.64081	25.06624	4	
Wanli	1.66	7.3	121.689881	25.179667	4	
Xindian	2.19	6	121.537778	24.977222	4	
Tucheng	2.37	5.6	121.451861	24.982528	4	
Banqiao	1.93	7.2	121.458667	25.012972	4	
Xinzhuang	1.61	10.7	121.4325	25.037972	4	
Cailiao	2.34	6.5	121.481028	25.06895	4	
Linkou	2.52	8.6	121.3654898	25.07798949	4	
Tamsui	2.02	7	121.449239	25.1645	4	
Shilin	2.25	8.3	121.5166636	25.10334003	4	
Zhongshan	1.89	5.4	121.526528	25.062361	4	
Wanhua	2.71	8.02	121.507972	25.046503	4	
Guting	2.21	8.1	121.529556	25.020608	4	
Songshan	1.82	4.3	121.578611	25.05	4	
Datong	2.48	10.3	121.5134207	25.06331455	4	
Taoyuan	2.25	7.1	121.3050053	24.9947107	4	
Dayuan	1.9	8.8	121.2025147	25.06100357	4	
Guanyin	2	5.5	121.0828309	25.03556747	4	
Pingzhen	0.44	3.1	121.203986	24.952786	4	
Longtan	2.49	8.2	121.2164577	24.86400048	4	
Hukou	3.87	21.2	121.0388689	24.90009696	4	
Zhudong	2.52	5.3	121.0889549	24.74091408	4	
Hsinchu	2.47	7.5	120.9723675	24.8056356	4	
Toufen	2.42	5	120.8986929	24.69690679	4	
Miaoli	2.25	7.7	120.8201147	24.56499183	4	
Sanyi	1.92	7.8	120.7595675	24.38248443	4	
